Subject,Lecturer,Alaa Mohasseb,Alex Bennett,Alexander Gegov,Alice Good,Amanda Peart,Asim Ali,Athanasios Paraskelidis,Atefeh Khazaei,"Bander 
Al-rimy",Carrie Toptan,Claudia Iacob,Dalin Zhou,David Williams,Dongxu Gao,Elisavet Andrikopoulou,Ella Haig,Fahad Ahmad,Farzad Arabikhan,Femi Fasunlade,Grace Golcarenarenji,Hamid Khaleghzadeh,Hasheem Danbatta,Honghai Liu,Ioannis Kagalidis,Ivan Jordanov,Janka Chlebikova,Jiacheng Tan,John Cox,Julian Murphy,Katerina Kanta,Kirsten Smith,Linda Yang,Mani Ghahremani,Marjan Golmaryami ,Mark Venn,Martin Sparrius,Matt Dennis,Matthew Poole,Mo Adda,"Mohamed 
Bader",Nadim Bakhshov,Nasreen Anjum,Olumuyiwa Matthew,Paolo Serafino,Peter Bednar,Priscilla Boadi,Rahim Taheri,Rich Boakes,Rinat Khusainov,Ronel Beukman,Shelley Usher,Shikun Zhou,Sohail Safdar,Stavros Shiaeles,Taiwo Adedeji,Tamer Elboghdadly,Tobi Fajana,Uchenna Ogenyi,Valentin Adamescu,Vasileios Adamos,Xia Han,Zaynab Lamoyero,Zhaojie Ju,Eslam Amer (CREATE Team),,,,,,,
,,Y,,,,,,,,Y,,,,,Y,,,,,,,,,,,,,,,Y,,Y,,,,,,,,,,y,,,,,,,Y,Y,,,,,,Y,Y,,,,,Y,Y,,,,,,,,,
,"MSc Course Specialisation
CNAM: Computer Networks & Administration Management
CSFIT: Cyber Security & Forensic Information Technology
DA: Data Analytics
IS: Information Systems
CS: Computer Science
AIML: Artificial Intelligence and Machine Learning","DA
AIML",,"DA
IS","CSFIT
IS",,"DA
IS","CNAM
IS",,,"DA
CNAM  CSFIT IS",,"DA
IS",CSFIT,"DA
IS","CSFIT        DA               AIML
CS","DA
IS",,DA,"CNAM
CSFIT",DA,"DA
IS","CSFIT
CNAM   DA","DA
IS",CNAM,"DA
IS","DA 
CSFIT",,,"CNAM
CSFIT",,IS,"CNAM
DA",,CSFIT        DA               IS,DA,CSFIT,IS,"DA
IS",CSFIT,DA,,,DA IS AIML,,"CSFIT
IS",,"CSFIT
DA","DA
IS","AIML
DA
CSFIT
CS","CSFIT
IS       DA",,,,CSFIT,"DA
IS","DA
IS",CSFIT,DA,"CNAM
IS",CNAM,,CSFIT,"DA
IS",,,,,,,,
,Personal Research Page,Research,,Research,,,,,,Research,,,,,Research,Research,,,,,,,,,,,,,,,,,,,,,,linky,,,,,,Research ,,,,,,Research,,,,,,,Research,,,,,,,Research,Research,,,,,,,
Subject Area,Topic,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AI,AI,y,,y,,,y,y,Y,y,y,,y,,y,,y,Y,,,y,y,,Y,,,,y,Y,y,y,,Y,Y,Y,,Y,,,,,,,,Y,Y,,Y,,Y,,,y,,y,y,Y,,Y,,,,,Y,Y,,,,,,,
,Autonomous Vehicles,,,,,,,,,,,,,,,,,,,,y,,,,,,,y,,,,,,,,,,,,,,y,,,,,,Y,,Y,,,y,,y,,Y,,Y,,,,,Y,,,,,,,,
,Chatbots,,,,,,,,,,,,,,,,y,,,,,,,,,,,y,,y,,Y,Y,Y,,,,Y,,,,y,,,,y,,,,,,,,,y,,Y,,Y,,,,,,,,,,,,,
,Gesture Recognition,,,,,,,,,,y,,y,,y,,,,,,y,y,,Y,,,,y,Y,,,,,,,,,,,,,Y,,,,,,,,Y,,,,,,,,,Y,,,,,Y,,,,,,,,
,Intelligent Chatbots,,,,,,,,Y,,,,,,,,y,,,,,,,,,,D,y,,y,,Y,Y,Y,,,,,,,,Y,,,,Y,,,,,,,,,y,,Y,,Y,,,,,Y,,,,,,,,
,Intelligent transport systems,,,Y,,,y,,,Y,,,,,,,,,y,,y,,,Y,,,,y,,,,Y,,,,,,,,,,,,,,,,Y,,Y,,,,,,,Y,,Y,,,,,Y,,,,,,,,
